task_id,skill_id,skill_name_en,skill_name_de,skill_category,relevance,rank,rationale,evidence_keywords,model_name,prompt_version,run_date
BN_0007,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.8,2,Environmental management skills are core to applying standards and minimizing ecological impact in waste concepts.,Umwelt|Abfall|Recycling,gpt-4.1-mini,final_v4,2026-03-07
BN_0007,SK-COG-005,Creative Thinking,Kreatives Denken,cognitive,0.75,3,Creative thinking is necessary to generate innovative concepts for waste reduction and recycling.,Konzepte|entwickeln,gpt-4.1-mini,final_v4,2026-03-07
BN_0008,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.95,1,Implementing environmental protection and waste reduction measures is central to environmental management.,Umweltschutz|Abfallvermeidung,gpt-4.1-mini,final_v4,2026-03-07
BN_0008,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.85,2,Handling and managing waste properly is a core part of implementing waste reduction measures.,Abfallvermeidung|Abfall,gpt-4.1-mini,final_v4,2026-03-07
BN_0008,SK-OPS-002,Operations Management,Betriebsmanagement,operational,0.75,3,Operations management is necessary to implement measures effectively within the company operations.,Betrieb,gpt-4.1-mini,final_v4,2026-03-07
BN_0009,SK-OPS-010,Record Keeping & Documentation,Aktenführung und Dokumentation,operational,0.9,1,"Documenting measurements, controls, and environmental data is the core of record keeping and documentation.",Dokumentieren|Dokumentation,gpt-4.1-mini,final_v4,2026-03-07
BN_0009,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,social,0.8,2,Writing and reporting skills are core to clearly documenting and reporting the collected data.,Dokumentieren,gpt-4.1-mini,final_v4,2026-03-07
BN_0009,SK-OPS-020,Monitoring & Surveillance,Überwachung und Kontrolle,operational,0.75,3,Monitoring and control are necessary to gather the measurements and environmental data to be documented.,Kontrollen,gpt-4.1-mini,final_v4,2026-03-07
BN_0010,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,social,0.9,1,Writing and reporting skills are central to creating clear and accurate reports.,Berichte|erstellen,gpt-4.1-mini,final_v4,2026-03-07
BN_0010,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.8,2,Environmental management knowledge is core to creating reports on waste reduction measures.,Abfall,gpt-4.1-mini,final_v4,2026-03-07
BN_0010,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.75,3,Understanding waste management is necessary to accurately report on waste reduction measures.,Abfall,gpt-4.1-mini,final_v4,2026-03-07
BN_0011,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.9,1,Expertise in waste and hazardous materials management is central to advising on waste disposal.,Abfallentsorgung|Abfall,gpt-4.1-mini,final_v4,2026-03-07
BN_0011,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.85,2,Environmental management knowledge is core to advising on environmental protection and waste disposal.,Umweltschutz|Abfall,gpt-4.1-mini,final_v4,2026-03-07
BN_0011,SK-SOC-010,Counseling & Guidance,Beratung und Begleitung,social,0.8,3,Providing professional guidance and counseling is a core part of advising households and businesses.,beraten|Beratung,gpt-4.1-mini,final_v4,2026-03-07
BN_0012,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,social,0.95,1,Conducting workshops and training directly involves teaching and training others.,Schulungen|durchführen,gpt-4.1-mini,final_v4,2026-03-07
BN_0012,SK-SOC-001,Verbal Communication,Mündliche Kommunikation,social,0.8,2,Speaking and presenting skills are core to delivering workshops and training effectively.,durchführen,gpt-4.1-mini,final_v4,2026-03-07
BN_0012,SK-SOC-019,Training Material Development,Schulungsmaterial entwickeln,social,0.75,3,Developing training materials supports effective workshops and training sessions.,Schulungen,gpt-4.1-mini,final_v4,2026-03-07
BN_0013,SK-DOM-001,Legal Knowledge & Application,Rechtskenntnisse und -anwendung,domain,0.9,1,Central skill to understand and explain legal frameworks and laws on waste and environmental protection.,Gesetze|Recht,gpt-4.1-mini,final_v4,2026-03-07
BN_0013,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,domain,0.8,2,Core skill to interpret and explain regulatory compliance related to waste and environmental laws.,Vorschrift|Einhaltung,gpt-4.1-mini,final_v4,2026-03-07
BN_0013,SK-DOM-006,Policy & Regulation Development,Richtlinien- und Regelungsentwicklung,domain,0.75,3,Ability to understand and explain policy and regulation development is necessary for explaining laws.,Gesetze,gpt-4.1-mini,final_v4,2026-03-07
BN_0014,SK-SOC-001,Verbal Communication,Mündliche Kommunikation,social,0.9,1,Speaking and presenting is central to giving lectures and seminars effectively.,Vorträge|halten,gpt-4.1-mini,final_v4,2026-03-07
BN_0014,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.85,2,Environmental management knowledge is core to giving lectures on environmental protection.,Umweltschutz,gpt-4.1-mini,final_v4,2026-03-07
BN_0014,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,social,0.8,3,Teaching and training skills are core for conducting seminars and lectures.,Seminare|Vorträge|halten,gpt-4.1-mini,final_v4,2026-03-07
BN_0015,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.9,1,Evaluating disposal offers based on environmental aspects centrally requires expertise in environmental management to assess ecological impact and sustainability.,Umweltaspekten,gpt-4.1-mini,final_v4,2026-03-07
BN_0015,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,cognitive,0.85,2,"The task involves evaluating offers, which requires the ability to assess processes and systems effectively.",bewerten,gpt-4.1-mini,final_v4,2026-03-07
BN_0015,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.75,3,Knowledge of waste and hazardous materials management is necessary to understand disposal offers and their implications.,Entsorgungsangebote|Entsorgung,gpt-4.1-mini,final_v4,2026-03-07
BN_0016,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.9,1,Recognizing environmental hazards from improper waste disposal directly requires knowledge of waste and hazardous materials management.,Abfall|Entsorgung|Gefahrstoff,gpt-4.1-mini,final_v4,2026-03-07
BN_0016,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.8,2,Environmental management is core to identifying environmental hazards and managing their impact.,Umwelt|Abfall,gpt-4.1-mini,final_v4,2026-03-07
BN_0016,SK-COG-010,Risk Assessment,Risikobewertung,cognitive,0.75,3,Risk assessment is necessary to evaluate and prioritize environmental hazards from waste disposal.,Risiko|Gefährdung,gpt-4.1-mini,final_v4,2026-03-07
BN_0017,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.9,1,"Central skill for creating concepts related to waste and recycling, directly involving Abfall and Recycling.",Abfall|Recycling,gpt-4.1-mini,final_v4,2026-03-07
BN_0017,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.85,2,"Core skill as environmental management principles underpin waste reduction and recycling concepts, involving Umwelt and Nachhaltigkeit.",Abfall|Recycling,gpt-4.1-mini,final_v4,2026-03-07
BN_0017,SK-DOM-006,Policy & Regulation Development,Richtlinien- und Regelungsentwicklung,domain,0.75,3,Required skill for developing concepts that may involve policies or guidelines for waste management.,Richtlinie,gpt-4.1-mini,final_v4,2026-03-07
BN_0018,SK-COG-014,Information Management,Informationsmanagement,cognitive,0.85,1,Information management is core to organizing and maintaining website content effectively.,Information,gpt-4.1-mini,final_v4,2026-03-07
BN_0018,SK-COG-003,Planning & Organizing,Planen und Organisieren,cognitive,0.8,2,Planning and organizing are core skills to coordinate website updates and manage schedules.,planen|organisieren,gpt-4.1-mini,final_v4,2026-03-07
BN_0018,SK-OPS-008,Administrative Support,Verwaltung und Büroorganisation,operational,0.75,3,Administrative support skills are necessary to handle clerical and organizational tasks related to website management.,Verwaltung|Organisation,gpt-4.1-mini,final_v4,2026-03-07
BN_0019,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,cognitive,0.95,1,Data analysis and interpretation is central to creating statistics on waste treatment.,Statistiken|Daten|analysieren|Auswertung|Statistik,gpt-4.1-mini,final_v4,2026-03-07
BN_0019,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.75,2,Knowledge of waste and hazardous materials is necessary to understand the context of waste treatment statistics.,Abfall,gpt-4.1-mini,final_v4,2026-03-07
BN_0019,SK-DIG-002,Data Management & Databases,Datenmanagement und Datenbanken,digital,0.7,3,Data management skills are required to organize and handle the data used for statistical analysis.,Daten|speichern|abfragen,gpt-4.1-mini,final_v4,2026-03-07
BN_0020,SK-SOC-019,Training Material Development,Schulungsmaterial entwickeln,social,0.95,1,"Creating and updating training materials is the core task described, directly involving development of instructional content.",Schulungsmaterial|erstellen|aktualisieren|Material,gpt-4.1-mini,final_v4,2026-03-07
BN_0020,SK-DOM-008,Education Program Design,Bildungsprogramm-Gestaltung,domain,0.8,2,Designing educational programs is closely related as the materials must fit different target groups and curricula.,Zielgruppen|Schulung,gpt-4.1-mini,final_v4,2026-03-07
BN_0020,SK-DIG-008,Digital Content Creation,Digitale Inhaltserstellung,digital,0.75,3,Digital content creation supports the task by enabling creation and editing of digital training materials.,erstellen,gpt-4.1-mini,final_v4,2026-03-07
BN_0021,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,operational,0.9,1,Managing regional waste infrastructures centrally involves handling waste and hazardous materials according to regulations.,Abfall|Recycling,gpt-4.1-mini,final_v4,2026-03-07
BN_0021,SK-OPS-011,Environmental Management,Umweltmanagement,operational,0.85,2,Environmental management is core to operating waste infrastructures sustainably and minimizing ecological impact.,Umwelt|Abfall|Recycling,gpt-4.1-mini,final_v4,2026-03-07
BN_0021,SK-OPS-013,Facility & Equipment Management,Gebäude- und Anlagenmanagement,operational,0.75,3,Managing physical infrastructure like Wertstoffhöfe requires facility and equipment management skills.,Anlage,gpt-4.1-mini,final_v4,2026-03-07
BN_0022,SK-SOC-011,Stakeholder Management,Stakeholder-Management,social,0.9,1,"Building and maintaining customer relationships is central to stakeholder management, involving managing relationships and networks.",Beziehungen|pflegen,gpt-4.1-mini,final_v4,2026-03-07
BN_0022,SK-SOC-009,Customer Service,Kundenbetreuung,social,0.85,2,"Customer service is core to understanding and fulfilling customer needs, which supports relationship building.",Kunden,gpt-4.1-mini,final_v4,2026-03-07
BN_0022,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.75,3,Sales and business development is a necessary supporting skill as it involves building client relationships and identifying opportunities.,Kunde,gpt-4.1-mini,final_v4,2026-03-07
BN_0023,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.9,1,"Vertrieb und Verkaufsgespräche sind zentral für die Aufgabe, Kundenbeziehungen aufzubauen und Umsätze zu generieren.",Verkaufsgespräche|Vertrieb,gpt-4.1-mini,final_v4,2026-03-07
BN_0023,SK-SOC-009,Customer Service,Kundenbetreuung,social,0.85,2,Kundenberatung und das Sammeln wichtiger Informationen erfordern eine gute Kundenbetreuung.,Beratungs-|Kunden,gpt-4.1-mini,final_v4,2026-03-07
BN_0023,SK-SOC-010,Counseling & Guidance,Beratung und Begleitung,social,0.8,3,Beratung ist explizit genannt und erfordert empathische und professionelle Begleitung.,Beratungs-|beraten,gpt-4.1-mini,final_v4,2026-03-07
BN_0024,SK-COG-011,Business Analysis,Geschäftsanalyse,cognitive,0.95,1,Analyzing business processes and customer needs is directly about business analysis.,Geschäftsprozesse|Bedürfnisse|analysieren,gpt-4.1-mini,final_v4,2026-03-07
BN_0024,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,cognitive,0.8,2,Evaluating processes and systems is core to analyzing business processes effectively.,bewerten|Effizienz,gpt-4.1-mini,final_v4,2026-03-07
BN_0024,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,cognitive,0.75,3,Data analysis supports understanding customer needs and business processes.,analysieren,gpt-4.1-mini,final_v4,2026-03-07
BN_0025,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,social,0.9,1,Providing training directly requires the ability to teach and convey knowledge effectively.,Schulungen|anbieten,gpt-4.1-mini,final_v4,2026-03-07
BN_0025,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.85,2,Supporting customers in new business areas requires strong sales and business development skills to identify opportunities and build relationships.,Geschäftsfeldern|Kunden|unterstützen,gpt-4.1-mini,final_v4,2026-03-07
BN_0025,SK-SOC-019,Training Material Development,Schulungsmaterial entwickeln,social,0.8,3,Offering training involves developing appropriate training materials and instructional content.,Schulungen|anbieten,gpt-4.1-mini,final_v4,2026-03-07
BN_0026,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.9,1,Planning sales areas and creating development plans is central to sales and business development.,Verkaufsgebiete|planen|Entwicklungspläne,gpt-4.1-mini,final_v4,2026-03-07
BN_0026,SK-COG-009,Strategic Thinking,Strategisches Denken,cognitive,0.85,2,Strategic thinking is core for developing long-term plans and aligning sales areas with business goals.,planen|Entwicklungspläne,gpt-4.1-mini,final_v4,2026-03-07
BN_0026,SK-COG-011,Business Analysis,Geschäftsanalyse,cognitive,0.75,3,Business analysis supports identifying improvement opportunities in sales areas and development plans.,Entwicklungspläne,gpt-4.1-mini,final_v4,2026-03-07
BN_0027,SK-COG-014,Information Management,Informationsmanagement,cognitive,0.85,1,Organizing and preparing information on products and services requires strong information management skills to handle data and documentation effectively.,Informationen|aufbereiten,gpt-4.1-mini,final_v4,2026-03-07
BN_0027,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,social,0.75,2,Writing and reporting skills are necessary to clearly and accurately present the prepared information in documents or reports.,Informationen|aufbereiten,gpt-4.1-mini,final_v4,2026-03-07
BN_0028,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.9,1,Developing ideas to leverage market opportunities with customers is central to sales and business development.,Kunden|Marktchancen,gpt-4.1-mini,final_v4,2026-03-07
BN_0028,SK-COG-005,Creative Thinking,Kreatives Denken,cognitive,0.85,2,Generating novel ideas is core to developing new approaches to market opportunities.,Ideen|entwickeln,gpt-4.1-mini,final_v4,2026-03-07
BN_0028,SK-SOC-009,Customer Service,Kundenbetreuung,social,0.75,3,Customer service skills are necessary to collaborate effectively with customers and understand their needs.,Kunden,gpt-4.1-mini,final_v4,2026-03-07
BN_0029,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,social,0.85,1,"Coordinating communication across sales involves cross-team coordination, making this a core skill.",koordinieren|Vertrieb,gpt-4.1-mini,final_v4,2026-03-07
BN_0029,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.8,2,"The task is within sales, so knowledge of sales and business development is core to effectively coordinate communication.",Vertrieb,gpt-4.1-mini,final_v4,2026-03-07
BN_0029,SK-SOC-011,Stakeholder Management,Stakeholder-Management,social,0.7,3,Managing relationships with stakeholders is necessary to coordinate communication effectively in sales.,Kommunikation,gpt-4.1-mini,final_v4,2026-03-07
BN_0030,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,social,0.85,1,"The task involves working with management and other departments, which requires coordinating across teams.",Abteilungen|zusammenarbeiten,gpt-4.1-mini,final_v4,2026-03-07
BN_0030,SK-SOC-006,Teamwork & Collaboration,Teamarbeit und Zusammenarbeit,social,0.75,2,Effective collaboration with others is necessary to work with management and other departments.,zusammenarbeiten,gpt-4.1-mini,final_v4,2026-03-07
BN_0031,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,cognitive,0.9,1,Analyzing development measures through market observations requires strong data analysis and interpretation skills to draw meaningful conclusions.,analysieren|Marktbeobachtungen,gpt-4.1-mini,final_v4,2026-03-07
BN_0031,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,cognitive,0.8,2,Evaluating processes and systems is core to analyzing development measures and assessing their effectiveness.,analysieren,gpt-4.1-mini,final_v4,2026-03-07
BN_0032,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.9,1,"Core to the task is evaluating sales potentials and measures, which directly relates to sales and business development activities.",Vertriebspotenziale|Vertrieb|Maßnahmen,gpt-4.1-mini,final_v4,2026-03-07
BN_0032,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,cognitive,0.8,2,Evaluating processes and systems is core to assessing the effectiveness of sales potentials and measures.,bewerten,gpt-4.1-mini,final_v4,2026-03-07
BN_0032,SK-COG-011,Business Analysis,Geschäftsanalyse,cognitive,0.75,3,Evaluating sales potentials involves analyzing business opportunities and processes to identify improvement areas.,bewerten|Vertriebspotenziale,gpt-4.1-mini,final_v4,2026-03-07
BN_0033,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.95,1,Starting and supporting sales activities is fundamentally about sales and business development.,Vertriebsaktivitäten|Vertrieb,gpt-4.1-mini,final_v4,2026-03-07
BN_0033,SK-COG-019,Taking Initiative,Eigeninitiative zeigen,cognitive,0.8,2,Taking initiative is core to proactively starting and supporting sales activities.,starten|begleiten,gpt-4.1-mini,final_v4,2026-03-07
BN_0033,SK-SOC-009,Customer Service,Kundenbetreuung,social,0.75,3,Customer service supports sales activities by addressing customer needs and inquiries.,Kunde,gpt-4.1-mini,final_v4,2026-03-07
BN_0034,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.9,1,Central skill for gaining new customers and business development through fairs and events.,Kunden|gewinnen,gpt-4.1-mini,final_v4,2026-03-07
BN_0034,SK-OPS-012,Event & Program Management,Veranstaltungs- und Programmmanagement,operational,0.85,2,Core skill needed to effectively use fairs and events by planning and organizing them.,Messen|Events,gpt-4.1-mini,final_v4,2026-03-07
BN_0034,SK-SOC-012,Public Speaking & Presenting,Vorträge und Präsentationen,social,0.85,3,Core skill to present the company clearly and persuasively at events.,präsentieren,gpt-4.1-mini,final_v4,2026-03-07
BN_0035,SK-SOC-011,Stakeholder Management,Stakeholder-Management,social,0.9,1,Central to managing a partner program is engaging and managing relationships with external stakeholders such as providers and sales partners.,Partnerprogramm|betreuen,gpt-4.1-mini,final_v4,2026-03-07
BN_0035,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.85,2,Managing a partner program involves building and maintaining business relationships and driving sales opportunities between provider and sales partner.,Partnerprogramm|Vertriebspartner,gpt-4.1-mini,final_v4,2026-03-07
BN_0035,SK-SOC-003,Negotiation,Verhandlungsführung,social,0.7,3,Negotiation skills are required to manage terms and agreements between provider and sales partner within the program.,vereinbaren,gpt-4.1-mini,final_v4,2026-03-07
BN_0036,SK-COG-011,Business Analysis,Geschäftsanalyse,cognitive,0.9,1,Developing concepts to improve partner program processes centrally requires business analysis to examine and optimize workflows.,Abläufe|Partnerprogramm|verbessern,gpt-4.1-mini,final_v4,2026-03-07
BN_0036,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,cognitive,0.8,2,Evaluating current processes and systems is core to identifying areas for improvement in the partner program.,verbessern|Abläufe,gpt-4.1-mini,final_v4,2026-03-07
BN_0036,SK-COG-005,Creative Thinking,Kreatives Denken,cognitive,0.75,3,Creative thinking supports generating novel concepts to improve processes beyond existing methods.,Konzepte|entwickeln,gpt-4.1-mini,final_v4,2026-03-07
BN_0037,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,operational,0.9,1,Developing and executing marketing campaigns is central to planning online campaigns.,Marketing|Kampagne,gpt-4.1-mini,final_v4,2026-03-07
BN_0037,SK-COG-003,Planning & Organizing,Planen und Organisieren,cognitive,0.85,2,Planning and organizing are necessary to structure and coordinate the campaign activities.,planen,gpt-4.1-mini,final_v4,2026-03-07
BN_0037,SK-DIG-018,E-Commerce & Digital Marketing,E-Commerce und digitales Marketing,digital,0.75,3,Planning online campaigns requires knowledge of digital marketing and e-commerce platforms to effectively target and engage customers.,Online|digital|Marketing,gpt-4.1-mini,final_v4,2026-03-07
BN_0038,SK-DIG-004,IT Systems & Infrastructure,IT-Systeme und Infrastruktur,digital,0.85,1,Ensuring technology works requires solid knowledge of IT systems and infrastructure to troubleshoot and maintain functionality.,Technik|funktioniert,gpt-4.1-mini,final_v4,2026-03-07
BN_0038,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,social,0.75,2,Coordinating across teams is necessary to manage the interface between affiliates and providers effectively.,Verbindung,gpt-4.1-mini,final_v4,2026-03-07
BN_0038,SK-DIG-006,Digital Collaboration Tools,Digitale Zusammenarbeit,digital,0.7,3,"Using digital collaboration tools supports communication between affiliates and providers, aiding the linking function.",Verbindung,gpt-4.1-mini,final_v4,2026-03-07
BN_0039,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,cognitive,0.95,1,Analyzing websites and checking visitor numbers and sales success requires strong data analysis and interpretation skills to understand and evaluate quantitative metrics.,analysieren|Besucherzahlen|Verkaufserfolg|Daten,gpt-4.1-mini,final_v4,2026-03-07
BN_0039,SK-DIG-018,E-Commerce & Digital Marketing,E-Commerce und digitales Marketing,digital,0.8,2,E-Commerce and digital marketing knowledge is core to understanding affiliate websites and their sales performance in an online context.,Webseiten|Affiliate|Verkaufserfolg|Online,gpt-4.1-mini,final_v4,2026-03-07
BN_0039,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.7,3,Sales and business development skills are required to interpret sales success and understand client relationships in affiliate marketing.,Verkaufserfolg|Vertrieb,gpt-4.1-mini,final_v4,2026-03-07
BN_0040,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,operational,0.9,1,"Sales and business development is central to winning new affiliates and activating them, involving client acquisition and relationship building.",gewinnen|freischalten,gpt-4.1-mini,final_v4,2026-03-07
BN_0040,SK-SOC-016,Persuasion & Influence,Überzeugen und Einfluss nehmen,social,0.8,2,Persuasion and influence are core skills needed to convince affiliates to join and participate in the program.,gewinnen,gpt-4.1-mini,final_v4,2026-03-07
BN_0040,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,operational,0.75,3,Marketing and promotion skills are necessary to attract new affiliates and promote the partner program effectively.,Affiliate|Partnerprogramm,gpt-4.1-mini,final_v4,2026-03-07
BN_0041,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,cognitive,0.95,1,Analyzing and interpreting data is central to creating accurate and meaningful reports and statistics.,Berichte|Statistiken|Daten|analysieren|Auswertung,gpt-4.1-mini,final_v4,2026-03-07
BN_0041,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,social,0.85,2,Writing and reporting skills are core to clearly documenting and presenting the reports and statistics.,Berichte|erstellen,gpt-4.1-mini,final_v4,2026-03-07
BN_0041,SK-DIG-003,Data Visualization,Datenvisualisierung,digital,0.8,3,Creating reports and statistics often requires visual representation of data to communicate insights effectively.,Berichte|Statistiken,gpt-4.1-mini,final_v4,2026-03-07
BN_0042,SK-COG-017,Budget & Financial Management,Budget- und Finanzmanagement,cognitive,0.95,1,"Being responsible for the budget directly involves planning, monitoring, and controlling financial budgets and expenditures.",Budget|verantwortlich,gpt-4.1-mini,final_v4,2026-03-07
BN_0042,SK-COG-012,Resource Management,Ressourcenmanagement,cognitive,0.75,2,Resource management is necessary to allocate and control financial and other resources related to the budget responsibility.,Budget,gpt-4.1-mini,final_v4,2026-03-07
BN_0043,SK-SOC-007,Coaching & Mentoring,Coaching und Mentoring,social,0.9,1,"Encouraging self-organization requires guiding and developing teams, which is central to coaching and mentoring.",anregen,gpt-4.1-mini,final_v4,2026-03-07
BN_0043,SK-SOC-005,Team Leadership,Teamführung,social,0.75,2,Team leadership supports motivating and guiding teams but is less direct than coaching for self-organization.,Mitarbeiter|Teams,gpt-4.1-mini,final_v4,2026-03-07
